first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
erédridnoi,erédràdnoi,pprs,pp,s,rid,er_éd,noi,erédridnoi,control,r,,1,i,à,erédràdnoi,1
ernirustôlb,ernirustôjb,pppr,ppp,,tôlb,er_ni_rus,,ernirustôlb,control,r,,2,l,j,ernirustôjb,1
reindécerteur,reindécerteum,ppprs,ppp,s,cert,re_in_dé,eur,reindécerteur,target,s,0.0,2,r,m,reindécerteum,1
érpsédnilisle,arpsédnilisle,ppprs,ppp,s,lis,érp_séd_ni,le,érpsédnilisle,control,p,0.0,0,é,a,arpsédnilisle,1
préreinlakmentaire,préreinlakmentaire,ppprss,ppp,ss,lak,pré_re_in,ment_aire,préreinlakmentaire,target,p,0.0,2,é,i,prireinlakmentaire,0
reindéjurant,reindéjarant,ppprs,ppp,s,jur,re_in_dé,ant,reindéjurant,target,r,,1,u,a,reindéjarant,1
bafment,bafment,rs,,s,baf,,ment,bafment,target,r,,1,a,é,béfment,0
reindébicelité,reindébicelité,ppprss,ppp,ss,bic,re_in_dé,el_ité,reindébicelité,target,r,,1,i,a,reindébacelité,0
errèimnoiletnem,errèimnoiletnem,prsss,p,sss,rèim,er,noi_le_tnem,errèimnoiletnem,control,p,0.0,1,r,l,elrèimnoiletnem,0
injur,injur,pr,p,,jur,in,,injur,target,r,,1,u,e,injer,0
niuosridlaéti,niuosridlaéti,pprss,pp,ss,rid,ni_uos,la_éti,niuosridlaéti,control,p,1.0,2,s,h,niuohridlaéti,0
reinsurjaunionelment,reinsurjaunionelment,ppprsss,ppp,sss,jaun,re_in_sur,ion_el_ment,reinsurjaunionelment,target,r,,2,u,a,reinsurjaanionelment,0
édsnalnoi,édsnalnoi,prs,p,s,snal,éd,noi,édsnalnoi,control,s,0.0,2,i,o,édsnalnoo,0
jaunionelité,jaunionelité,rsss,,sss,jaun,,ion_el_ité,jaunionelité,target,r,,2,u,i,jainionelité,0
tiameuqitnem,piameuqitnem,rss,,ss,tiam,,euqi_tnem,tiameuqitnem,control,r,,0,t,p,piameuqitnem,1
érpédmiernoileéti,érpédmiernoileéti,pprsss,pp,sss,mier,érp_éd,noi_le_éti,érpédmiernoileéti,control,s,1.0,1,e,i,érpédmiernoiliéti,0
netiameviéti,netiameviiti,prss,p,ss,tiam,ne,evi_éti,netiameviéti,control,s,1.0,0,é,i,netiameviiti,1
erniédlisnoiletnem,erniédlisnoiletnem,ppprsss,ppp,sss,lis,er_ni_éd,noi_le_tnem,erniédlisnoiletnem,control,s,2.0,3,m,r,erniédlisnoiletner,0
riofeuqitnem,rioteuqitnem,rss,,ss,riof,,euqi_tnem,riofeuqitnem,control,r,,3,f,t,rioteuqitnem,1
redir,repir,pr,p,,dir,re,,redir,target,r,,0,d,p,repir,1
préviquement,préviquemant,rss,,ss,prév,,ique_ment,préviquement,target,s,1.0,1,e,a,préviquemant,1
préreinsan,préreinsan,pppr,ppp,,san,pré_re_in,,préreinsan,target,p,0.0,2,é,a,prareinsan,0
erniédnasnoileéti,erniédnasnoileéti,ppprsss,ppp,sss,nas,er_ni_éd,noi_le_éti,erniédnasnoileéti,control,s,0.0,1,o,e,erniédnasneileéti,0
reindéfilment,reindéfilment,ppprs,ppp,s,fil,re_in_dé,ment,reindéfilment,target,p,0.0,0,r,j,jeindéfilment,0
préredirion,préredirian,pprs,pp,s,dir,pré_re,ion,préredirion,target,s,0.0,1,o,a,préredirian,1
niuostoidelbatnem,niuosteidelbatnem,pprss,pp,ss,toid,ni_uos,elba_tnem,niuostoidelbatnem,control,r,,1,o,e,niuosteidelbatnem,1
lakment,lakment,rs,,s,lak,,ment,lakment,target,r,,1,a,e,lekment,0
érperniruobnoileéti,érperniruobnéileéti,ppprsss,ppp,sss,ruob,érp_er_ni,noi_le_éti,érperniruobnoileéti,control,s,0.0,1,o,é,érperniruobnéileéti,1
redéfilionelisme,redésilionelisme,pprsss,pp,sss,fil,re_dé,ion_el_isme,redéfilionelisme,target,r,,0,f,s,redésilionelisme,1
reinreimionelment,reinreimionelment,pprsss,pp,sss,reim,re_in,ion_el_ment,reinreimionelment,target,r,,3,m,r,reinreirionelment,0
érpertrec,érpertric,ppr,pp,,trec,érp_er,,érpertrec,control,r,,2,e,i,érpertric,1
toidnoileéti,toidnoileéti,rsss,,sss,toid,,noi_le_éti,toidnoileéti,control,s,2.0,2,i,e,toidnoileéte,0
préreinbiciquement,prureinbiciquement,ppprss,ppp,ss,bic,pré_re_in,ique_ment,préreinbiciquement,target,p,0.0,2,é,u,prureinbiciquement,1
tôlbtne,tôlbtne,rs,,s,tôlb,,tne,tôlbtne,control,r,,2,l,n,tônbtne,0
nenasnoi,nenasroi,prs,p,s,nas,ne,noi,nenasnoi,control,s,0.0,0,n,r,nenasroi,1
foirment,foirment,rs,,s,foir,,ment,foirment,target,r,,0,f,c,coirment,0
léutnoileemsi,réutnoileemsi,rsss,,sss,léut,,noi_le_emsi,léutnoileemsi,control,r,,0,l,r,réutnoileemsi,1
reincrusanteliste,reincrusanteliste,pprsss,pp,sss,crus,re_in,ant_el_iste,reincrusanteliste,target,s,0.0,2,t,q,reincrusanqeliste,0
encort,encoyt,pr,p,,cort,en,,encort,target,r,,2,r,y,encoyt,1
tuélionaire,tuélionaire,rss,,ss,tuél,,ion_aire,tuélionaire,target,r,,3,l,r,tuérionaire,0
reinsursil,reinsursil,pppr,ppp,,sil,re_in_sur,,reinsursil,target,r,,1,i,e,reinsursel,0
prédésincortionelité,prédésilcortionelité,ppprsss,ppp,sss,cort,pré_dés_in,ion_el_ité,prédésincortionelité,target,p,2.0,1,n,l,prédésilcortionelité,1
snalnoileéti,snalnoileéti,rsss,,sss,snal,,noi_le_éti,snalnoileéti,control,s,1.0,0,l,n,snalnoineéti,0
intuélenteliste,intuélentelisce,prsss,p,sss,tuél,in,ent_el_iste,intuélenteliste,target,s,2.0,2,t,c,intuélentelisce,1
ruobnoi,ruobroi,rs,,s,ruob,,noi,ruobnoi,control,s,0.0,0,n,r,ruobroi,1
tiobnoileemsi,tiobnoileemsi,rsss,,sss,tiob,,noi_le_emsi,tiobnoileemsi,control,r,,0,t,c,ciobnoileemsi,0
souscrus,siuscrus,pr,p,,crus,sous,,souscrus,target,p,0.0,1,o,i,siuscrus,1
remièrenteliste,remièrenteliste,prsss,p,sss,mièr,re,ent_el_iste,remièrenteliste,target,r,,1,i,a,remaèrenteliste,0
sanionaire,sanionaire,rss,,ss,san,,ion_aire,sanionaire,target,r,,0,s,b,banionaire,0
ertôlbnoileéti,ertôlbnoileéti,prsss,p,sss,tôlb,er,noi_le_éti,ertôlbnoileéti,control,p,0.0,1,r,l,eltôlbnoileéti,0
rediotablement,radiotablement,prss,p,ss,diot,re,able_ment,rediotablement,target,p,0.0,1,e,a,radiotablement,1
préinsousfilionelment,préinsousfilionelment,ppprsss,ppp,sss,fil,pré_in_sous,ion_el_ment,préinsousfilionelment,target,p,0.0,2,é,e,preinsousfilionelment,0
ernimelknoiletnem,ernimelknoiletnem,pprsss,pp,sss,melk,er_ni,noi_le_tnem,ernimelknoiletnem,control,r,,3,k,t,ernimeltnoiletnem,0
ertiam,ertiam,pr,p,,tiam,er,,ertiam,control,p,0.0,0,e,i,irtiam,0
niédmoc,niédmoc,ppr,pp,,moc,ni_éd,,niédmoc,control,p,0.0,0,n,l,liédmoc,0
recrus,recrus,pr,p,,crus,re,,recrus,target,r,,1,r,l,reclus,0
prérediot,prérediot,ppr,pp,,diot,pré_re,,prérediot,target,r,,1,i,e,préredeot,0
recruseux,recruseux,prs,p,s,crus,re,eux,recruseux,target,p,0.0,0,r,l,lecruseux,0
rebourablement,rebourablement,prss,p,ss,bour,re,able_ment,rebourablement,target,s,0.0,2,l,r,rebourabrement,0
necib,necib,pr,p,,cib,ne,,necib,control,r,,0,c,s,nesib,0
préretuél,préretuél,ppr,pp,,tuél,pré_re,,préretuél,target,r,,0,t,v,prérevuél,0
inintersanité,inintersanité,pprs,pp,s,san,in_inter,ité,inintersanité,target,s,0.0,1,t,x,inintersanixé,0
redétroniveité,redétroniveité,pprss,pp,ss,tron,re_dé,ive_ité,redétroniveité,target,p,0.0,1,e,a,radétroniveité,0
erédmiertneleetsi,eredmiertneleetsi,pprsss,pp,sss,mier,er_éd,tne_le_etsi,erédmiertneleetsi,control,p,1.0,0,é,e,eredmiertneleetsi,1
vérptna,térptna,rs,,s,vérp,,tna,vérptna,control,r,,0,v,t,térptna,1
érpédnasnoiletnem,érpédnisnoiletnem,pprsss,pp,sss,nas,érp_éd,noi_le_tnem,érpédnasnoiletnem,control,r,,1,a,i,érpédnisnoiletnem,1
érpertiam,érpertiam,ppr,pp,,tiam,érp_er,,érpertiam,control,r,,1,i,e,érperteam,0
ernuajelbatnem,ernoajelbatnem,prss,p,ss,nuaj,er,elba_tnem,ernuajelbatnem,control,r,,1,u,o,ernoajelbatnem,1
insurjur,insurjar,ppr,pp,,jur,in_sur,,insurjur,target,r,,1,u,a,insurjar,1
fabnoi,fabnoi,rs,,s,fab,,noi,fabnoi,control,r,,2,b,s,fasnoi,0
reindétuélionelment,reindétuéliinelment,ppprsss,ppp,sss,tuél,re_in_dé,ion_el_ment,reindétuélionelment,target,s,0.0,1,o,i,reindétuéliinelment,1
décomionaire,décomionaije,prss,p,ss,com,dé,ion_aire,décomionaire,target,s,1.0,2,r,j,décomionaije,1
rebicionelment,rebicionelment,prsss,p,sss,bic,re,ion_el_ment,rebicionelment,target,r,,2,c,t,rebitionelment,0
ernirusmoctne,ernirusmoctne,ppprs,ppp,s,moc,er_ni_rus,tne,ernirusmoctne,control,p,1.0,0,n,m,ermirusmoctne,0
ervérpxue,ervérpsue,prs,p,s,vérp,er,xue,ervérpxue,control,s,0.0,0,x,s,ervérpsue,1
érpsédnitrecnoileéti,érpsédnitrecnoileéti,ppprsss,ppp,sss,trec,érp_séd_ni,noi_le_éti,érpsédnitrecnoileéti,control,s,0.0,1,o,e,érpsédnitrecneileéti,0
luopelbatnem,luopelbatnem,rss,,ss,luop,,elba_tnem,luopelbatnem,control,r,,1,u,e,leopelbatnem,0
reindélansenteliste,reindélansenteliste,ppprsss,ppp,sss,lans,re_in_dé,ent_el_iste,reindélansenteliste,target,s,2.0,2,t,h,reindélansentelishe,0
niretnirujéti,niretnirujéti,pprs,pp,s,ruj,ni_retni,éti,niretnirujéti,control,r,,0,r,n,niretninujéti,0
décoment,técoment,prs,p,s,com,dé,ent,décoment,target,p,0.0,0,d,t,técoment,1
filant,silant,rs,,s,fil,,ant,filant,target,r,,0,f,s,silant,1
redirionaire,medirionaire,prss,p,ss,dir,re,ion_aire,redirionaire,target,p,0.0,0,r,m,medirionaire,1
érpédvérp,érpédvérp,ppr,pp,,vérp,érp_éd,,érpédvérp,control,p,0.0,1,r,l,élpédvérp,0
indédirionel,indédireonel,pprss,pp,ss,dir,in_dé,ion_el,indédirionel,target,s,0.0,0,i,e,indédireonel,1
prédésinpoulionelisme,prédésinpourionelisme,ppprsss,ppp,sss,poul,pré_dés_in,ion_el_isme,prédésinpoulionelisme,target,r,,3,l,r,prédésinpourionelisme,1
erléuttnem,erléuttnem,prs,p,s,léut,er,tnem,erléuttnem,control,s,0.0,2,e,u,erléuttnum,0
préreincommentaire,préreincommentaile,ppprss,ppp,ss,com,pré_re_in,ment_aire,préreincommentaire,target,s,1.0,2,r,l,préreincommentaile,1
insoufoirenteliste,insoufoirenteliste,pprsss,pp,sss,foir,in_sou,ent_el_iste,insoufoirenteliste,target,p,1.0,0,s,p,inpoufoirenteliste,0
trocnoileéti,trecnoileéti,rsss,,sss,troc,,noi_le_éti,trocnoileéti,control,r,,2,o,e,trecnoileéti,1
reindémélal,reindémélal,ppprs,ppp,s,mél,re_in_dé,al,reindémélal,target,s,0.0,0,a,e,reindémélel,0
ernirusrèim,ernirusrèim,pppr,ppp,,rèim,er_ni_rus,,ernirusrèim,control,p,2.0,0,r,n,erninusrèim,0
érpléuttna,élpléuttna,prs,p,s,léut,érp,tna,érpléuttna,control,p,0.0,1,r,l,élpléuttna,1
ensan,enpan,pr,p,,san,en,,ensan,target,r,,0,s,p,enpan,1
prédéblôtenteliste,prédéblôtenteliste,pprsss,pp,sss,blôt,pré_dé,ent_el_iste,prédéblôtenteliste,target,p,1.0,1,é,o,prédoblôtenteliste,0
erniédliftna,erniédliftna,ppprs,ppp,s,lif,er_ni_éd,tna,erniédliftna,control,r,,0,l,n,erniédniftna,0
reindéprével,riindéprével,ppprs,ppp,s,prév,re_in_dé,el,reindéprével,target,p,0.0,1,e,i,riindéprével,1
redétronion,redétronion,pprs,pp,s,tron,re_dé,ion,redétronion,target,s,0.0,1,o,i,redétroniin,0
retuélmentaire,retuélmentaire,prss,p,ss,tuél,re,ment_aire,retuélmentaire,target,s,1.0,1,i,é,retuélmentaére,0
préretart,préretart,ppr,pp,,tart,pré_re,,préretart,target,p,0.0,1,r,n,pnéretart,0
trattna,trattna,rs,,s,trat,,tna,trattna,control,r,,2,a,o,trottna,0
enbourionelment,enbourionellent,prsss,p,sss,bour,en,ion_el_ment,enbourionelment,target,s,2.0,0,m,l,enbourionellent,1
niretnimoc,niretnimoc,ppr,pp,,moc,ni_retni,,niretnimoc,control,p,1.0,0,r,n,ninetnimoc,0
siateviéti,siateviéti,rss,,ss,siat,,evi_éti,siateviéti,control,s,0.0,2,i,a,siatevaéti,0
erniédtiobtnem,erniédtiobtnem,ppprs,ppp,s,tiob,er_ni_éd,tnem,erniédtiobtnem,control,r,,2,o,u,erniédtiubtnem,0
